Branch Path,Variable,Scenario,Year,Value,Units
Demand\Freight road,Sales,Current Accounts,2022,0.0,Device
Demand\Freight road,Sales,Target,2022,0.0,Device
Demand\Freight road,Sales,Target,2023,205614.4138040656,Device
Demand\Freight road,Sales,Target,2024,206613.4721513444,Device
Demand\Freight road,Sales,Target,2025,204185.7915377743,Device
Demand\Freight road,Sales,Target,2026,202135.857255664,Device
Demand\Freight road,Sales,Target,2027,200329.8663421083,Device
Demand\Freight road,Sales,Target,2028,198396.5023082337,Device
Demand\Freight road,Sales,Target,2029,196442.5244444612,Device
Demand\Freight road,Sales,Target,2030,194505.6291684997,Device
Demand\Freight road,Sales,Target,2031,192573.4100874819,Device
Demand\Freight road,Sales,Target,2032,190716.4485170096,Device
Demand\Freight road,Sales,Target,2033,188882.4441068266,Device
Demand\Freight road,Sales,Target,2034,187126.6981823043,Device
Demand\Freight road,Sales,Target,2035,185446.5493682309,Device
Demand\Freight road,Sales,Target,2036,183704.6772757915,Device
Demand\Freight road,Sales,Target,2037,182060.4262779981,Device
Demand\Freight road,Sales,Target,2038,180513.1927376178,Device
Demand\Freight road,Sales,Target,2039,179065.7630722059,Device
Demand\Freight road,Sales,Target,2040,177712.4134908516,Device
Demand\Freight road,Sales,Target,2041,176433.804849603,Device
Demand\Freight road,Sales,Target,2042,175195.7884887418,Device
Demand\Freight road,Sales,Target,2043,173955.2766451451,Device
Demand\Freight road,Sales,Target,2044,172669.5256794369,Device
Demand\Freight road,Sales,Target,2045,171575.2100965423,Device
Demand\Freight road,Sales,Target,2046,170457.2057851941,Device
Demand\Freight road,Sales,Target,2047,169381.4783249738,Device
Demand\Freight road,Sales,Target,2048,168310.9394141477,Device
Demand\Freight road,Sales,Target,2049,167226.5562329805,Device
Demand\Freight road,Sales,Target,2050,166193.0483591406,Device
Demand\Freight road,Sales,Target,2051,165101.3308392806,Device
Demand\Freight road,Sales,Target,2052,164009.3789805314,Device
Demand\Freight road,Sales,Target,2053,162892.5500267167,Device
Demand\Freight road,Sales,Target,2054,161671.3620780602,Device
Demand\Freight road,Sales,Target,2055,160317.2687510989,Device
Demand\Freight road,Sales,Target,2056,158950.5244743882,Device
Demand\Freight road,Sales,Target,2057,157634.6614253461,Device
Demand\Freight road,Sales,Target,2058,156512.922034848,Device
Demand\Freight road,Sales,Target,2059,155096.2919443487,Device
Demand\Freight road,Sales,Target,2060,151279.2639564056,Device
Demand\Freight road\LCVs,Sales Share,Current Accounts,2022,30.0,Share
Demand\Freight road\LCVs,Sales Share,Target,2022,30.0,Share
Demand\Freight road\LCVs,Sales Share,Target,2023,62.57880905813781,Share
Demand\Freight road\LCVs,Sales Share,Target,2024,71.23076400376452,Share
Demand\Freight road\LCVs,Sales Share,Target,2025,75.6245072803218,Share
Demand\Freight road\LCVs,Sales Share,Target,2026,74.97724469783415,Share
Demand\Freight road\LCVs,Sales Share,Target,2027,72.88296531367838,Share
Demand\Freight road\LCVs,Sales Share,Target,2028,70.88759031174764,Share
Demand\Freight road\LCVs,Sales Share,Target,2029,69.38627183274546,Share
Demand\Freight road\LCVs,Sales Share,Target,2030,68.11077735509689,Share
Demand\Freight road\LCVs,Sales Share,Target,2031,66.83655224159692,Share
Demand\Freight road\LCVs,Sales Share,Target,2032,66.62267317819658,Share
Demand\Freight road\LCVs,Sales Share,Target,2033,66.41840302718887,Share
Demand\Freight road\LCVs,Sales Share,Target,2034,66.22244628797966,Share
Demand\Freight road\LCVs,Sales Share,Target,2035,66.03094074144241,Share
Demand\Freight road\LCVs,Sales Share,Target,2036,63.80230381789471,Share
Demand\Freight road\LCVs,Sales Share,Target,2037,63.02639401840096,Share
Demand\Freight road\LCVs,Sales Share,Target,2038,62.32988066335074,Share
Demand\Freight road\LCVs,Sales Share,Target,2039,62.01382273149192,Share
Demand\Freight road\LCVs,Sales Share,Target,2040,61.72972506025937,Share
Demand\Freight road\LCVs,Sales Share,Target,2041,58.72094004243333,Share
Demand\Freight road\LCVs,Sales Share,Target,2042,58.08113274003909,Share
Demand\Freight road\LCVs,Sales Share,Target,2043,57.44416977843064,Share
Demand\Freight road\LCVs,Sales Share,Target,2044,56.81545282770892,Share
Demand\Freight road\LCVs,Sales Share,Target,2045,56.20323031760586,Share
Demand\Freight road\LCVs,Sales Share,Target,2046,55.62320629221925,Share
Demand\Freight road\LCVs,Sales Share,Target,2047,55.3946688167734,Share
Demand\Freight road\LCVs,Sales Share,Target,2048,56.76465668531922,Share
Demand\Freight road\LCVs,Sales Share,Target,2049,58.21782479292258,Share
Demand\Freight road\LCVs,Sales Share,Target,2050,57.78371305854001,Share
Demand\Freight road\LCVs,Sales Share,Target,2051,60.94387381499892,Share
Demand\Freight road\LCVs,Sales Share,Target,2052,60.58126708744266,Share
Demand\Freight road\LCVs,Sales Share,Target,2053,60.1751702295927,Share
Demand\Freight road\LCVs,Sales Share,Target,2054,59.73876924024152,Share
Demand\Freight road\LCVs,Sales Share,Target,2055,59.25780012078506,Share
Demand\Freight road\LCVs,Sales Share,Target,2056,58.70980808329313,Share
Demand\Freight road\LCVs,Sales Share,Target,2057,58.10718460888725,Share
Demand\Freight road\LCVs,Sales Share,Target,2058,57.44025851292457,Share
Demand\Freight road\LCVs,Sales Share,Target,2059,56.67077258632965,Share
Demand\Freight road\LCVs,Sales Share,Target,2060,55.77071177754808,Share
Demand\Freight road\LCVs,Stock,Current Accounts,2022,2025774.586108492,Device
Demand\Freight road\LCVs,Stock Share,Current Accounts,2022,62.52823207094402,Share
Demand\Freight road\LCVs\BEV,Sales Share,Current Accounts,2022,5.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2022,5.0,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2023,14.86620242897057,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2024,18.2240768043234,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2025,24.37002687374741,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2026,26.43030444852031,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2027,28.95056830639022,Share
Demand\Freight road\LCVs\BEV,Sales Share,Target,2028,32.51741771726531,Share
