project_code,economy,transport_type,data_year,turnover_rate_lower,turnover_rate_upper,fit_mode,scale_age_band_age_min,scale_age_band_age_max,scale_age_band_factor,smoothing_window,evidence_grade,estimation_status,source_note
,,passenger,2026,0.035,0.075,auto,4,15,,1,D,synthetic_estimate,APERC initial lifecycle calibration defaults for passenger road fleet
,,freight,2026,0.050,0.090,auto,4,15,,1,D,synthetic_estimate,APERC initial lifecycle calibration defaults for freight road fleet
