Branch Path,Variable,branch_level,Current Accounts,Projected Scenario,Shown In Interface,Shown In Interface Projected,Units,Notes
Demand\Freight road,Freight GDP Elasticity Adjustment,transport,True,False,True,True,multiplier,
Demand\Freight road,Reconciliation Bound Lower Efficiency,transport,True,False,True,True,ratio,
Demand\Freight road,Reconciliation Bound Lower Mileage,transport,True,False,True,True,ratio,
Demand\Freight road,Reconciliation Bound Upper Efficiency,transport,True,False,True,True,ratio,
Demand\Freight road,Reconciliation Bound Upper Mileage,transport,True,False,True,True,ratio,
Demand\Freight road,Reconciliation Weight Efficiency,transport,True,False,True,True,weight (0-1),
Demand\Freight road,Reconciliation Weight Mileage,transport,True,False,True,True,weight (0-1),
Demand\Freight road,Reconciliation Weight Stock,transport,True,False,True,True,weight (0-1),
Demand\Freight road\Age 0,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 0,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 1,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 1,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 10,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 10,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 11,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 11,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 12,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 12,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 13,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 13,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 14,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 14,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 15,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 15,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 16,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 16,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 17,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 17,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 18,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 18,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 19,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 19,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 2,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 2,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 20,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 20,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 21,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 21,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 22,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 22,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 23,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 23,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 24,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 24,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 25,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 25,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 26,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 26,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 27,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 27,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 28,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 28,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 29,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 29,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 3,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 3,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 30,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 30,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 31,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 31,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 32,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 32,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 33,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 33,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 34,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 34,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 35,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 35,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 36,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 36,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 37,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 37,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 4,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 4,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 5,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 5,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 6,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 6,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 7,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 7,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 8,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 8,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\Age 9,Survival Rate,age,True,False,True,True,%,
Demand\Freight road\Age 9,Vintage Profile Share,age,True,False,True,True,%,
Demand\Freight road\LCVs,Sales Share,vehicle_type,True,True,True,False,%,
Demand\Freight road\LCVs,Stock,vehicle_type,True,False,True,True,Millions,
Demand\Freight road\LCVs,Stock Share,vehicle_type,True,False,True,True,%,
Demand\Freight road\LCVs\BEV,Sales Share,drive_or_size,True,True,True,False,%,
Demand\Freight road\LCVs\BEV,Stock Share,drive_or_size,True,False,True,True,%,
Demand\Freight road\LCVs\BEV\Electricity,Fuel Economy,fuel,True,False,True,True,MJ/100 km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
Demand\Freight road\LCVs\BEV\Electricity,Mileage,fuel,True,False,True,True,Thousand km,Fuel row globally required unless excluded by economy-specific ESTO zero-fuel config.
