economy,flows,products,is_subtotal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01AUS,14 Industry sector,06.05 Other hydrocarbons,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,07 Petroleum products,True,148.529506,142.264002,117.256605,128.673511,126.1725,128.760902,132.727103,127.483496,143.788809,136.106701,132.087473,164.546206,187.195785,192.993284,188.689141,161.821244,157.205188,157.388657,169.876546,175.251409,180.650841,187.907645,190.354265
01AUS,14 Industry sector,07.01 Motor gasoline,True,0.0,0.0,0.044602,0.1784,0.1784,0.1784,0.1784,0.1784,0.1784,0.1784,0.133802,0.144863,0.244141,0.712041,0.545193,0.376423,0.298732,0.338339,0.392483,0.410005,0.472627,0.512184,0.49403
01AUS,14 Industry sector,07.02 Aviation gasoline,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,07.03 Naphtha,True,0.475202,0.475202,0.561601,0.647999,0.6048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,07.04 Gasoline type jet fuel,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,07.05 Kerosene type jet fuel,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,07.06 Kerosene,True,0.085796,0.085796,0.085796,0.0858,0.0,0.171596,0.171596,0.171596,0.171596,0.128698,0.1716,0.307675,0.268466,0.229554,0.236123,0.376448,0.179241,0.156457,0.158562,0.13685,0.149552,0.150712,0.153455
01AUS,14 Industry sector,07.07 Gas/diesel oil,True,90.184204,90.9936,73.868403,76.254004,73.953596,75.785401,72.1218,76.041001,84.944398,85.259899,84.003369,90.52364,109.98042,127.997108,131.682819,123.740393,125.556137,131.557232,142.218738,146.992963,153.076848,158.890592,161.442367
01AUS,14 Industry sector,07.08 Fuel oil,True,40.384801,33.994802,32.759403,33.228002,32.631601,33.1002,34.591203,32.802,35.826603,30.118202,32.163002,31.762735,31.884479,30.733088,24.454864,10.319168,6.81408,3.144772,2.933988,3.164752,3.211443,3.249819,2.30027
01AUS,14 Industry sector,07.09 LPG,True,12.640502,11.925003,5.676304,6.057902,6.6303,7.345799,9.730801,8.776797,9.110703,8.872198,9.683097,9.892265,10.825662,9.478417,8.87458,9.93042,9.629962,7.627897,8.003818,8.15512,7.551241,7.853135,8.171867
01AUS,14 Industry sector,07.10 Refinery gas (not liquefied),True,4.329,4.617601,4.088498,3.6556,3.848,3.607502,3.703702,2.741701,3.126501,2.549301,2.212598,1.202499,0.913899,1.250601,0.577201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,07.11 Ethane,True,0.0,0.0,0.0,0.0,0.0,0.0,5.137601,0.0,0.938601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,07.12 White spirit SBP,True,0.430001,0.171998,0.171998,0.171998,0.171998,0.171998,0.171998,0.171998,0.171998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,07.13 Lubricants,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,07.14 Bitumen,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,07.15 Paraffin  waxes,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01AUS,14 Industry sector,07.16 Petroleum coke,True,0.0,0.0,0.0,0.0338,0.0338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
