Economy,Scenario,Branch Path,Variable,Year,Value,Units,Source,Comment,Input Status
01AUS,Current Accounts,Demand\Freight road\Trucks\EREV medium\Biodiesel,Mileage,2022,27487.11653967416,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\EREV medium\Biogasoline,Fuel Economy,2022,698.5735008992684,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\EREV medium\Biogasoline,Mileage,2022,26802.56739933603,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\EREV medium\Efuel,Fuel Economy,2022,675.3769036105879,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\EREV medium\Efuel,Mileage,2022,26569.95682027645,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\EREV medium\Electricity,Fuel Economy,2022,692.5108135402999,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\EREV medium\Electricity,Mileage,2022,26569.95682027645,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\EREV medium\Gas and diesel oil,Fuel Economy,2022,675.5856028554774,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\EREV medium\Gas and diesel oil,Mileage,2022,26578.16724307222,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\EREV medium\Motor gasoline,Fuel Economy,2022,692.8878452296506,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\EREV medium\Motor gasoline,Mileage,2022,26584.42260984977,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\FCEV heavy,Sales Share,2022,1.0,Share,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\FCEV heavy,Stock Share,2022,0.0,Share,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\FCEV heavy\Hydrogen,Fuel Economy,2022,1448.674418733507,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\FCEV heavy\Hydrogen,Mileage,2022,31468.54547885471,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\FCEV medium,Sales Share,2022,2.0,Share,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\FCEV medium,Stock Share,2022,0.0,Share,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\FCEV medium\Hydrogen,Fuel Economy,2022,1207.228682277921,MJ/100 km,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\FCEV medium\Hydrogen,Mileage,2022,26569.95682027647,Kilometer,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
01AUS,Current Accounts,Demand\Freight road\Trucks\ICE heavy,Sales Share,2022,37.0,Share,road_module1_source_01AUS.csv,Loaded from preprocessed Road Module 1 source.,default
