position,column_name,required,expected_type,notes
1,Branch Path,True,string,Researcher output files must keep this column name and meaning.
2,Variable,True,string,Researcher output files must keep this column name and meaning.
3,Scenario,True,string,Researcher output files must keep this column name and meaning.
4,Region,True,string,Researcher output files must keep this column name and meaning.
5,Scale,False,string,Researcher output files must keep this column name and meaning.
6,Units,True,string,Researcher output files must keep this column name and meaning.
7,Per...,False,string,Researcher output files must keep this column name and meaning.
8,2022,False,number,Researcher output files must keep this column name and meaning.
9,2030,False,number,Researcher output files must keep this column name and meaning.
10,2040,False,number,Researcher output files must keep this column name and meaning.
11,2050,False,number,Researcher output files must keep this column name and meaning.
12,input_source,True,string,Researcher output files must keep this column name and meaning.
13,standardized_label_status,False,string,Researcher output files must keep this column name and meaning.
14,notes,False,string,Researcher output files must keep this column name and meaning.
15,source_type,False,string,Researcher output files must keep this column name and meaning.
16,source_name,False,string,Researcher output files must keep this column name and meaning.
17,source_scope,False,string,Researcher output files must keep this column name and meaning.
18,source_date,False,string,Researcher output files must keep this column name and meaning.
19,default_version,True,string,Researcher output files must keep this column name and meaning.
20,researcher_review_recommended,False,boolean,Researcher output files must keep this column name and meaning.
21,review_reason,False,string,Researcher output files must keep this column name and meaning.
