Branch Path,Variable,Scenario,Year,Value,Units,share_decreased_from,note,DO_NOT_USE
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2059,94.27394715010283,Share,,Survival-based replacement sales share used only where current 14PE sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2060,95.43723867446415,Share,,Survival-based replacement sales share used only where current 14PE sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2059,5.726052849897171,Share,,Survival-based replacement sales share used only where current 14PE sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2060,4.562761325535842,Share,,Survival-based replacement sales share used only where current 14PE sales total is zero; 9th-edition shares retained in earlier years.,
